name,total,exact1,transposed1,tonalTransped1,inverted1,augmented1,retrograded1,rotated1,trInverted1,trAugmented1,trRetrograded1,exact08,transposed08,tonalTransped08,inverted08,augmented08,retrograded08,rotated08,trInverted08,trAugmented08,trRetrograded08,exact06,transposed06,tonalTransped06,inverted06,augmented06,retrograded06,rotated06,trInverted06,trAugmented06,trRetrograded06,unclassified
bach2-Ngrams-pattern32,29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.59,3.45,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.62
bach2-Ngrams-pattern33,28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.57,3.57,3.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.71
bach2-Ngrams-pattern34,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.93,3.70,3.70,0.00,0.00,0.00,7.41,0.00,0.00,0.00,55.56
bach2-Ngrams-pattern35,26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.92,3.85,3.85,0.00,0.00,0.00,3.85,0.00,0.00,0.00,57.69
bach2-Ngrams-pattern36,25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.00,0.00,8.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,52.00
bach2-Ngrams-pattern37,24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.17,4.17,4.17,0.00,0.00,0.00,4.17,0.00,0.00,0.00,54.17
bach2-Ngrams-pattern38,23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.78,0.00,4.35,0.00,0.00,0.00,4.35,0.00,0.00,0.00,52.17
bach2-Ngrams-pattern39,22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.27,0.00,4.55,0.00,0.00,0.00,4.55,0.00,0.00,0.00,59.09
bach2-Ngrams-pattern40,21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.29,9.52,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,66.67
bach2-Ngrams-pattern41,20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00
bach2-Ngrams-pattern42,19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.95
